"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152","должен показывать разные остатки товаров","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","235","должен переключаться между входом и регистрацией","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","313","должен выйти из аккаунта со страницы профиля","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","176","должен отклонить неверные учетные данные","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","198","должен войти с корректными учетными данными","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","193","должен загрузить главную страницу","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","2734","должен удалить товар из корзины","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","191","должен отобразить информацию о пользователе после входа","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","187","должен добавить товар в корзину","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","2707","должен изменить количество товара в корзине","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","111","должен показать сообщение о необходимости входа на странице профиля","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","151","должен перенаправить на авторизацию при нажатии кнопки войти на странице профиля","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","265","должен переключаться между страницами","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","145","должен сортировать по остатку","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","187","должен показать ошибку при пустом пароле","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","161","должен сортировать по популярности","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","2910","должен перейти на страницу оплаты с валидной картой","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","161","должен открыть модальное окно авторизации","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","2920","должен отклонить платеж с невалидной картой","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","188","должен показать ошибку при пустом email","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","164","должен фильтровать товары по категории","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","228","должен перейти на страницу каталога","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
"","192","должен отобразить товары в корзине","chromium","2026-02-14","passed","2026-02-14","Galaxy Store - UI Tests","app.spec.ts","",""
